comment_id,date,civic_content,department,type,website
Ugwy5sBC_ptSfGSAtY94AaABAg,2025-10-17T09:39:43Z,There is an issue with ಸ್ವಚ್ಛತೆ. Please fix it soon.,Sanitation,Complaint,https://www.youtube.com/watch?v=uu-6XV85CmM
UgwWTlHvSRTFYaGjMW14AaABAg,2024-12-31T12:51:53Z,electricity service handled very well. Appreciated.,Electrical,Feedback,https://www.youtube.com/watch?v=uu-6XV85CmM
UgyuxweomThNbk9LZeZ4AaABAg,2024-04-21T17:56:11Z,The condition of ತ್ಯಾಜ್ಯ needs urgent attention.,Sanitation,Complaint,https://www.youtube.com/watch?v=uu-6XV85CmM
Ugz8320caInkTftzrj94AaABAg,2024-04-04T17:19:47Z,Positive changes seen in ವಿದ್ಯುತ್. Thanks team.,Electrical,Feedback,https://www.youtube.com/watch?v=uu-6XV85CmM
UgxoqLrYIjUH7rzuM-54AaABAg,2025-02-14T18:27:11Z,bridge has not been working properly. Kindly repair it.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=CVfywzYzhJc
UgxEIxiY7V7UA8Wb61N4AaABAg,2025-09-25T07:44:26Z,There is an issue with road. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=zl75mwQrx1Q
UgzgYFmWk6TVRmsqDhB4AaABAg,2025-04-23T23:50:07Z,ಕಸ problem is causing inconvenience. Request quick action.,Sanitation,Complaint,https://www.youtube.com/watch?v=zl75mwQrx1Q
UgzAsg3qmh3owgfmr3l4AaABAg,2025-02-26T20:29:01Z,ಬಿಲ್ service handled very well. Appreciated.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=zl75mwQrx1Q
Ugzjt48qkMFGvBZJlTV4AaABAg,2024-12-31T17:51:13Z,There is an issue with ಬಿಲ್. Please fix it soon.,Revenue/Tax,Complaint,https://www.youtube.com/watch?v=zl75mwQrx1Q
UgwEIWsHqIDEK6F-26p4AaABAg,2025-06-11T14:29:17Z,Happy with the recent work on mosquito. Keep going.,Health & Environment,Feedback,https://www.youtube.com/watch?v=vrqE8NQD9pc
UgxZDkc_V8-9BmlIrJp4AaABAg,2025-06-09T06:10:24Z,People are facing trouble due to pothhole. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=vrqE8NQD9pc
Ugxs9gndMy80E5V0GfR4AaABAg,2025-06-04T05:20:50Z,Positive changes seen in ಬೀದಿ. Thanks team.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=vrqE8NQD9pc
Ugzvoaz5zb6R7gOq3YJ4AaABAg,2025-08-22T02:53:45Z,Happy with the recent work on ಆರೋಗ್ಯ. Keep going.,Health & Environment,Feedback,https://www.youtube.com/watch?v=FunE2e-4f1Q
UgyNxnQX4p5x6KkeWDx4AaABAg,2023-03-16T07:21:38Z,Good improvement in ಕಸ. Thank you!,Sanitation,Feedback,https://www.youtube.com/watch?v=FunE2e-4f1Q
Ugxndf8geNkstDzvsnN4AaABAg,2023-08-24T12:59:08Z,Positive changes seen in supply. Thanks team.,Water Supply,Feedback,https://www.youtube.com/watch?v=XtpFIU7BAgE
UgwwtHD1etfCRU5swsJ4AaABAg,2025-03-21T18:49:38Z,Great response regarding ಸೇತುವೆ. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=PL-bbFugIAM
UgyZvwsFhfTnKf41Xix4AaABAg,2025-03-17T21:01:35Z,Great response regarding ಆರೋಗ್ಯ. ಧನ್ಯವಾದಗಳು!,Health & Environment,Feedback,https://www.youtube.com/watch?v=PL-bbFugIAM
UgwJ90Yjx23m6q_b6r94AaABAg,2025-01-30T01:39:15Z,trash has not been working properly. Kindly repair it.,Sanitation,Complaint,https://www.youtube.com/watch?v=3DjLYtKs1lo
UgzdoMNRdVr_uW03LON4AaABAg,2025-01-29T05:50:43Z,ಸ್ವಚ್ಛತೆ has not been working properly. Kindly repair it.,Sanitation,Complaint,https://www.youtube.com/watch?v=3DjLYtKs1lo
UgxRaZ45A_axCqnOsNl4AaABAg,2025-01-20T04:33:20Z,People are facing trouble due to cleaning. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Sanitation,Complaint,https://www.youtube.com/watch?v=3DjLYtKs1lo
Ugw3Ljmx2vijqQAxZnF4AaABAg,2025-10-21T08:47:36Z,Happy with the recent work on bridge. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=13SOear4wbs
UgwbiiSJSjaIrXECHIR4AaABAg,2025-09-19T09:27:34Z,Positive changes seen in ರಸ್ತೆ. Thanks team.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=13SOear4wbs
UgzW-ZzxmCBVd--i9NB4AaABAg,2025-09-08T13:07:46Z,ರಸ್ತೆ problem is causing inconvenience. Request quick action.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=13SOear4wbs
UgzjrgyrvDmMdjh1lDZ4AaABAg,2025-09-02T06:23:28Z,People are facing trouble due to ಸೇತುವೆ. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=13SOear4wbs
UgyorvuFckuNLm5FSad4AaABAg,2025-08-14T15:02:11Z,Positive changes seen in ರಸ್ತೆ. Thanks team.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=13SOear4wbs
Ugyp66_hBIDueS2Xaul4AaABAg,2025-06-05T03:30:14Z,Great response regarding light. ಧನ್ಯವಾದಗಳು!,Electrical,Feedback,https://www.youtube.com/watch?v=A_O95MJmycM
Ugy57Q8N-JQhevXBUFx4AaABAg,2025-02-14T14:31:59Z,Good improvement in ಬಿಲ್. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=A_O95MJmycM
Ugyy2eby6acsLT4ce1F4AaABAg,2024-09-07T03:14:16Z,Great response regarding street. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=A_O95MJmycM
UgygSCE2pnGlbB-QOSl4AaABAg,2024-08-21T19:52:39Z,pothhole service handled very well. Appreciated.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=A_O95MJmycM
UgzHAtGb_Raark5Cznp4AaABAg,2024-06-28T16:19:28Z,ಬೀದಿ problem is causing inconvenience. Request quick action.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=A_O95MJmycM
Ugw5CAUyybDcacrh9jR4AaABAg,2024-05-10T05:36:47Z,Great response regarding ಬೀದಿ. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=A_O95MJmycM
UgwlRUokLWBR8kmqGKJ4AaABAg,2023-08-29T10:12:09Z,payment has not been working properly. Kindly repair it.,Revenue/Tax,Complaint,https://www.youtube.com/watch?v=A_O95MJmycM
UgwMD8ab3kWYOSPAS014AaABAg,2025-07-25T06:04:26Z,There is an issue with street. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=jTyXFw4G3IQ
UgzmRCCDpgR9fOiBdHl4AaABAg,2025-03-15T13:04:59Z,Great response regarding pothhole. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=jTyXFw4G3IQ
Ugyxp7q5Ak2kVg_Iwnh4AaABAg,2024-12-21T17:11:24Z,road problem is causing inconvenience. Request quick action.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=jTyXFw4G3IQ
UgwUrEvv2Yj1QrOAF-B4AaABAg,2024-10-27T13:45:53Z,The condition of tax needs urgent attention.,Revenue/Tax,Complaint,https://www.youtube.com/watch?v=jTyXFw4G3IQ
Ugxf0XN0UMCG3oJOCAV4AaABAg,2023-09-13T10:46:47Z,Great response regarding supply. ಧನ್ಯವಾದಗಳು!,Water Supply,Feedback,https://www.youtube.com/watch?v=jTyXFw4G3IQ
Ugxth5KfB97I2iJ9XGh4AaABAg,2024-11-09T09:02:17Z,There is an issue with ರಸ್ತೆ. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=gctjjEsvdv4
UgwuKc5t6E199nW1htl4AaABAg,2022-07-26T12:51:10Z,The condition of ಸೇತುವೆ needs urgent attention.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=gctjjEsvdv4
UgxfhOe9RGuZUKrpnFR4AaABAg,2025-05-12T06:15:44Z,ಕಸ has not been working properly. Kindly repair it.,Sanitation,Complaint,https://www.youtube.com/watch?v=LF3f54K4F5Y
UgwI7-mkRz9mXlnaIot4AaABAg,2023-09-20T10:16:30Z,property service handled very well. Appreciated.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
Ugz82VDOvy8Js9xfNXx4AaABAg,2023-09-04T12:52:52Z,People are facing trouble due to water. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Water Supply,Complaint,https://www.youtube.com/watch?v=wKDZ47cf3XY
Ugy52nipyoflirPe05V4AaABAg,2023-08-24T19:32:10Z,Good improvement in ಬಿಲ್. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
Ugzl-Tjy3Fz2K5-_ahx4AaABAg,2023-08-10T22:45:38Z,There is an issue with bridge. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgxwOdh7hURdDGqRRCZ4AaABAg,2023-08-09T19:46:25Z,electricity service handled very well. Appreciated.,Electrical,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgxpzvCDWMTfRBu0GvB4AaABAg,2023-08-09T15:41:25Z,Good improvement in power. Thank you!,Electrical,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgynQFwGPpDvONbsLm54AaABAg,2023-08-09T08:54:12Z,Happy with the recent work on property. Keep going.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgxPa0DY3jaOzEDF0Wd4AaABAg,2023-08-09T08:45:06Z,Good improvement in property. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgyDojDTsRmbxB7ASLJ4AaABAg,2023-08-07T21:31:46Z,The condition of pothhole needs urgent attention.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgzJ-5FXREIjFfjNHYV4AaABAg,2023-08-06T18:49:21Z,The condition of light needs urgent attention.,Electrical,Complaint,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgyKGmdf-Omokh2egPJ4AaABAg,2023-08-05T18:19:15Z,Positive changes seen in ವಿದ್ಯುತ್. Thanks team.,Electrical,Feedback,https://www.youtube.com/watch?v=wKDZ47cf3XY
Ugw-8meIeSnVgLSv73t4AaABAg,2023-08-05T08:11:20Z,The condition of lamp needs urgent attention.,Electrical,Complaint,https://www.youtube.com/watch?v=wKDZ47cf3XY
UgybIUNXNlMTk9hR6J94AaABAg,2025-06-11T16:58:19Z,Good improvement in ಸೇತುವೆ. Thank you!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=DVJGwqRcfHg
UgwjOOhk3ltDLJlcqWV4AaABAg,2025-11-24T01:00:38Z,People are facing trouble due to ಕಸ. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgysN344eidrOufQtPt4AaABAg,2025-10-07T05:48:46Z,Positive changes seen in ಕಸ. Thanks team.,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugxj66-VxmSe0PQmaB94AaABAg,2025-05-08T18:40:50Z,Good improvement in garbage. Thank you!,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgwtTPuMe6lygDc83A14AaABAg,2025-05-07T02:20:34Z,There is an issue with waste. Please fix it soon.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgzIVdyHqYbrRDJvog14AaABAg,2025-04-08T14:50:45Z,Positive changes seen in road. Thanks team.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugw4nTJIvuloH0yz6iN4AaABAg,2025-01-13T06:01:18Z,Great response regarding ಕಸ. ಧನ್ಯವಾದಗಳು!,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugw5DOF4FMEUxz09ZiJ4AaABAg,2024-11-08T07:53:39Z,cleaning has not been working properly. Kindly repair it.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgzSfiF65bvsoogO-094AaABAg,2024-10-14T11:48:26Z,The condition of ತ್ಯಾಜ್ಯ needs urgent attention.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgzlupxxFKeRMYFqKfh4AaABAg,2024-09-06T20:30:11Z,The condition of trash needs urgent attention.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgwcNs4vYTZ9PAueKKF4AaABAg,2024-07-24T12:43:47Z,waste has not been working properly. Kindly repair it.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgxtewvrKzDc2OnKtFp4AaABAg,2024-05-11T23:09:43Z,Great response regarding waste. ಧನ್ಯವಾದಗಳು!,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugz2czwCfs3l5v5gMJN4AaABAg,2024-02-02T23:54:43Z,ಸ್ವಚ್ಛತೆ problem is causing inconvenience. Request quick action.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugy-euwMwwt5JMqARgp4AaABAg,2024-01-14T01:08:26Z,waste problem is causing inconvenience. Request quick action.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgxgHRZ3pDqw9y2ceFh4AaABAg,2024-01-06T17:00:07Z,People are facing trouble due to cleaning. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgycJYbrLLZlHDIj6g14AaABAg,2023-09-10T16:01:03Z,Good improvement in cleaning. Thank you!,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugy5xNLLG-4oE6OrVHp4AaABAg,2023-09-04T00:10:31Z,The condition of waste needs urgent attention.,Sanitation,Complaint,https://www.youtube.com/watch?v=KL7o-zYTDpI
Ugzhr6QO-qpDFMx83YN4AaABAg,2023-07-08T05:20:33Z,Positive changes seen in tax. Thanks team.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgwtMIJMj7n4ahbbMhl4AaABAg,2023-03-21T22:27:02Z,Good improvement in ತ್ಯಾಜ್ಯ. Thank you!,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgxkXeUQD-88--OGITZ4AaABAg,2023-03-06T01:43:54Z,Good improvement in garbage. Thank you!,Sanitation,Feedback,https://www.youtube.com/watch?v=KL7o-zYTDpI
UgzO6XuY_z8qUsbXj0t4AaABAg,2025-11-15T07:41:14Z,Good improvement in ರಸ್ತೆ. Thank you!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=x9basLURhGI
UgwTTUcSO3kPqAh7QQh4AaABAg,2025-07-03T22:03:49Z,ತೆರಿಗೆ service handled very well. Appreciated.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=x9basLURhGI
UgyPz-SwfIda-Vziw3F4AaABAg,2025-07-03T10:07:39Z,payment has not been working properly. Kindly repair it.,Revenue/Tax,Complaint,https://www.youtube.com/watch?v=x9basLURhGI
UgwqAD__oya7QecRmQ94AaABAg,2025-09-20T10:11:59Z,road problem is causing inconvenience. Request quick action.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgyiUIpZ46XcYKlnVpN4AaABAg,2025-07-12T10:49:29Z,ರಸ್ತೆ has not been working properly. Kindly repair it.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgxgJK6vvd_Z1rT9-fF4AaABAg,2024-11-17T11:03:03Z,pothhole has not been working properly. Kindly repair it.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugx-3iDMdzD3gZwFhlF4AaABAg,2024-10-28T13:19:56Z,ರಸ್ತೆ has not been working properly. Kindly repair it.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugxlu08cCt7AMmDqxKN4AaABAg,2024-10-23T04:23:43Z,health service handled very well. Appreciated.,Health & Environment,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgzQCd92l2Ztkv7Ukvd4AaABAg,2024-10-20T15:19:10Z,People are facing trouble due to bridge. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgxNLImVitmBQ4abYCp4AaABAg,2024-10-20T14:45:45Z,Good improvement in ತೆರಿಗೆ. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgwDJtsJq3z2fhfcJgJ4AaABAg,2024-10-19T10:41:00Z,street has not been working properly. Kindly repair it.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgxwEN5pvXk3c18NUrJ4AaABAg,2024-10-12T18:06:52Z,There is an issue with supply. Please fix it soon.,Water Supply,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgyhSsXX9XP9_H0zoXl4AaABAg,2024-10-12T14:54:19Z,People are facing trouble due to pothhole. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgzMg-nDdpSJ9kkmLWF4AaABAg,2024-10-09T05:56:10Z,Good improvement in road. Thank you!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugw097-rAh7zvY6HJst4AaABAg,2024-08-31T16:57:22Z,street service handled very well. Appreciated.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugyar1cE9qCQm-BVD2d4AaABAg,2024-08-21T12:14:43Z,Happy with the recent work on ಸೇತುವೆ. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugx2myBwkRr_053J29Z4AaABAg,2024-05-31T13:03:51Z,Good improvement in ಬಿಲ್. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugz9PhG5CNA_A5YcnSZ4AaABAg,2024-05-27T18:34:41Z,bridge service handled very well. Appreciated.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=HN6xp0EYcrs
Ugwlq0x8dT2yVcGMN3R4AaABAg,2024-05-26T11:57:25Z,The condition of ಬೀದಿ needs urgent attention.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=HN6xp0EYcrs
UgwM8izKZIf6fwzCekt4AaABAg,2025-04-15T11:08:15Z,Good improvement in payment. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=O9JbbEv2FfM
Ugx72FAVoZuha98iIkx4AaABAg,2025-04-01T05:59:45Z,Good improvement in tax. Thank you!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=O9JbbEv2FfM
UgxvwBT7VE3YNj3Fred4AaABAg,2025-02-06T10:20:27Z,People are facing trouble due to payment. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Revenue/Tax,Complaint,https://www.youtube.com/watch?v=O9JbbEv2FfM
UgwVyFThUbics-WpYd94AaABAg,2025-11-06T17:20:38Z,Great response regarding ತೆರಿಗೆ. ಧನ್ಯವಾದಗಳು!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=HXTqwPdViFo
UgzqABAEsQw0oALkIxx4AaABAg,2024-09-02T13:54:19Z,electricity service handled very well. Appreciated.,Electrical,Feedback,https://www.youtube.com/watch?v=HXTqwPdViFo
UgwOZU0qf8HbR2lPpLl4AaABAg,2024-07-30T05:27:46Z,People are facing trouble due to trash. ಇದು ತಕ್ಷಣ ಸರಿಪಡಿಸಿ.,Sanitation,Complaint,https://www.youtube.com/watch?v=HXTqwPdViFo
UgzbXafkk_eIAbbxu594AaABAg,2024-07-10T12:11:19Z,Happy with the recent work on tax. Keep going.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=HXTqwPdViFo
UgzfhQQWlQni9WxDHwt4AaABAg,2024-07-07T14:19:43Z,Great response regarding ಬಿಲ್. ಧನ್ಯವಾದಗಳು!,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=HXTqwPdViFo
UgwtBCPIAgHRoMSxUfh4AaABAg,2024-07-03T05:34:56Z,Happy with the recent work on ತೆರಿಗೆ. Keep going.,Revenue/Tax,Feedback,https://www.youtube.com/watch?v=HXTqwPdViFo
Ugz8sTdfMhKA3nVFP2R4AaABAg,2023-09-26T13:18:34Z,cleaning problem is causing inconvenience. Request quick action.,Sanitation,Complaint,https://www.youtube.com/watch?v=HXTqwPdViFo
UgyqLkKFqRl1JPxR_O54AaABAg,2025-08-27T10:50:16Z,The condition of street needs urgent attention.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=A42LPJbH2rE
UgzIeR3uKef3mUMKfSF4AaABAg,2025-08-12T13:00:56Z,There is an issue with road. Please fix it soon.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=A42LPJbH2rE
Ugy8UzGQ_EepbyULMGN4AaABAg,2024-04-29T04:40:03Z,Happy with the recent work on ಬೀದಿ. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=A42LPJbH2rE
UgyzkJEJSKoEVQPJdIJ4AaABAg,2024-02-09T03:34:40Z,Happy with the recent work on ಬೀದಿ. Keep going.,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=A42LPJbH2rE
Ugz6QXua9XdvowmsLWZ4AaABAg,2023-11-21T13:51:18Z,The condition of pothhole needs urgent attention.,Roads & Infrastructure,Complaint,https://www.youtube.com/watch?v=A42LPJbH2rE
UgwsK7K531Ff773A6cN4AaABAg,2023-11-11T17:43:46Z,Great response regarding ಸೇತುವೆ. ಧನ್ಯವಾದಗಳು!,Roads & Infrastructure,Feedback,https://www.youtube.com/watch?v=A42LPJbH2rE
